Date,258_0_RV,259_0_RV,260_0_RV,260_1038_RV,260_1039_RV,260_1040_RV,261_0_RV,265_0_RV,266_0_RV,269_0_RV,270_0_RV,273_0_RV,273_278_RV,273_279_RV,273_280_RV,273_281_RV,50_0_RV,50_224_RV,50_225_RV,50_226_RV,50_227_RV,50_228_RV,854_0_RV
12/7/16,17111.2,242249.009,36402.4,32096.8,4305.6,0,3683.31,133129.58,40003.999,85498.17,4920,1103,0,0,0,1103,294654.6,184597.1,51013.41,38209.09,0,20835,4927.99
12/8/16,20016,321864.228,76750.4,69388,7362.4,0,2255.65,152888.81,218839.2,145936.35,6632,4010,0,0,0,810,295013.2,198670.88,34119.09,36468.18,7621.82,18133.23,3249.6
12/9/16,23260.8,367474.817,43669.6,38273.6,5396,0,3016.87,165441.179,271030.4,72380.91,9872,4511,0,0,0,511,244819.31,152544.32,28664.54,40431.82,5250.91,17927.73,1297.6
12/10/16,25156,307628.216,17088,15600,1488,0,895.13,172592.008,36721.6,21309.09,4728,140,0,0,0,140,272636.01,162325.55,41386.36,55200,0,13724.09,3328.8
12/11/16,6280,88278,17088,15600,1488,0,6635.65,120495.909,0,13581.82,1912,95,0,0,0,95,59162.23,42970.86,4152.27,1418.18,0,10620.92,806.4
12/12/16,11108,168425.927,45278.4,39591.2,5687.2,0,701.39,122502.4,55141.6,61533.63,1840,902.8,0,0,0,902.8,164593,108951.26,11033.19,30014.55,0,14594,1554.56
12/13/16,15456,218191.36,66538.4,60476,5662.4,0,2306.6,145422.41,155721.6,107060,2600,0,0,0,0,0,255431.61,183601.16,19261.81,42838.18,0,9730.46,1253.6
12/14/16,18754.2,241162.72,31483.2,25952.8,5170.4,0,2842.95,167010.389,80192.8,88299.09,8680,764,0,0,0,764,294332.39,185164.8,16328.48,76639.09,13272.73,2927.3,304
12/15/16,20066,277960.758,22592.8,20248,2344.8,0,4265.91,153098.79,377111.2,58768.17,5984,868,0,0,0,868,226216.62,158553.78,22899.47,23672.73,3923.64,17167,1955.2
12/16/16,19352.8,330791.21,35777.6,32421.6,3356,0,3665.91,202450.398,73226.4,51979.63,8064,2870,0,0,0,210,150130.43,94649.75,26895.86,0,1610.91,24313.91,1360
12/17/16,17608.2,315683.916,0,0,0,0,2146.26,175501.84,6872.8,0,8048,3217.09,0,0,0,727.09,129443.09,83523.61,27875.85,0,0,15553.64,2501.6
12/18/16,5144,113068.809,0,0,0,0,4953.22,120994.38,0,0,832,0,0,0,0,0,45423.05,17960.33,18972.73,0,0,8490,152
12/19/16,8940,169347.477,0,0,0,0,86.26,130503.198,49913.04,2336.36,1984,1118,0,0,0,1118,90209.51,54861.55,24612.5,0,0,10735.46,1006.639
12/20/16,19176,148720.779,25062.4,22880,2182.4,0,1420,149621.589,51060.8,38316.36,3200,124,0,0,0,124,91347.59,62613.27,20198.86,0,0,8535.45,477.6
12/21/16,11192.8,158922.076,0,0,0,0,1896.52,155273.99,0,6267.27,3128,13357.3,0,0,0,11967.3,65438.02,43076.2,15522.72,0,0,5449.09,1287.6
12/22/16,11208,132671.379,0,0,0,0,1061.91,151440.156,0,0,3120,1878.2,0,0,0,0,76771.05,39189.23,22340.91,0,0,12000.91,1894.4
12/23/16,12612,0,0,0,0,0,827.65,127549.997,0,0,0,4123,0,0,0,0,49587.44,17767.44,17084.55,0,0,10595.45,247.2
12/24/16,5796,0,0,0,0,0,107.83,23993.6,0,0,608,605,0,0,0,35,42348.94,18320.76,14836.37,0,2994.55,5627.28,0
12/25/16,7612,0,0,0,0,0,0,0,0,0,608,0,0,0,0,0,45194.14,21443.24,12306.36,0,2994.55,8450,0
12/26/16,9680.8,0,0,0,0,0,1911.83,46669.619,512.17,0,608,0,0,0,0,0,48987.16,30079.89,10370.91,0,0,8536.36,166.4
12/27/16,7480,43597.61,0,0,0,0,1548.18,84408.799,0,0,304,716,0,0,0,716,63786.33,28763.61,28872.73,0,0,6150,537.2
12/28/16,10660,54677.179,0,0,0,0,951.65,94292.78,0,0,304,680.09,0,0,0,680.09,79134.92,30461.64,20998.73,0,22729.09,4945.45,531.2
12/29/16,10268.8,41368.4,0,0,0,0,289.05,96904.65,0,0,56,1790,0,0,0,0,88884.54,38390.26,22841,0,16109.09,9564.18,0
12/30/16,10768,61243.979,0,0,0,0,1137.04,88435.208,0,0,304,668,0,0,0,668,88821.43,41377.15,30044.73,0,0,17399.54,979.2
12/31/16,17488,92519.849,0,0,0,0,334.78,126297.188,0,0,0,123,0,0,0,123,148063.9,105422.99,30633.18,0,0,12007.73,3038.4
1/1/17,7072,0,0,0,0,0,1484.17,23846.409,0,0,560,0,0,0,0,0,55444.8,18365.26,29729.55,0,0,7350,0
1/2/17,8812,17015.208,0,0,0,0,528.87,43967.999,0,0,752,1127.27,0,0,0,1127.27,73898.18,23489,29631.91,0,15631.82,5145.45,1153.6
1/3/17,9185.6,20739.2,0,0,0,0,744.52,43812.48,705.6,4090.91,2296,228,0,0,0,228,94748.88,48100.48,29983.85,1009.09,11418.18,4237.27,280
