Date,Period_Day,Driver_1,Name_Driver_1,Linear_Rate_1,Rate_1,Modifier_1,Value_1,Driver_2,Name_Driver_2,Rate_2,Modifier_2,Value_2,Rate_Tree,Modifier_Tree,Tree_Value,High,Low,Linear_Forecast,Max_Forecast,Tree_Forecast,Best_Forecast,Actual_Rev,Linear_Smape,Max_Smape,Tree_Smape,Best_Smape
2016-12-08,8_3,266_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '266', 'Segment_Id': '0'}",0.188,0.204,0.913677142042,218839.2,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.351,0.531748976865,145936.35,0.204441624873,0.918253528548,218839.2,69388.0,0.0,41082.5174469,40789.4684639,41082.5174469,40789.4684639,69388.0,0.256226577075,0.25956787658,0.256226577075,0.25956787658
2016-12-09,8_4,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.354,0.362,0.976680626277,72380.91,50_226_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '50', 'Segment_Id': '226'}",1.049,0.336927848234,40431.82,0.361946987643,0.977430931649,72380.91,59764.0,0.0,25606.7867035,25590.8777684,25606.7867035,25590.8777684,38273.6,0.198289552555,0.198588051994,0.198289552555,0.198588051994
2016-12-10,8_5,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.719,0.714,1.00637913332,21309.09,50_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '50', 'Segment_Id': '0'}",0.0,0.0,272636.01,0.714013694619,1.00637913332,21309.09,15600.0,0.0,15312.040479,15311.7467976,15312.040479,15312.040479,15600.0,0.00931544849486,0.00932503763903,0.00931544849486,0.00931544849486
2016-12-11,8_6,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",1.004,0.812,1.23560169286,13581.82,266_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '266', 'Segment_Id': '0'}",0.336,0.0,0.0,0.812307817278,1.23560169286,13581.82,15600.0,0.0,13631.922168,13626.7564647,13631.922168,13631.922168,15600.0,0.0673263229373,0.0675149682672,0.0673263229373,0.0673263229373
2016-12-13,7_1,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.348,0.359,0.967520827332,107060.0,261_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '261', 'Segment_Id': '0'}",30.528,0.0,701.39,0.359479812946,0.967520827332,107060.0,73884.0,0.0,37235.9182976,37186.2179389,37235.9182976,37235.9182976,60476.0,0.23784285589,0.238472794829,0.23784285589,0.23784285589
2016-12-14,7_2,50_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '50', 'Segment_Id': '0'}",0.134,0.13,0.0,294332.39,50_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '50', 'Segment_Id': '0'}",0.132,1.006479622,255431.61,0.130207887425,1.02812555506,294332.39,99348.0,0.0,39402.2936886,33935.445757,39402.2936886,33935.445757,25952.8,0.205791055135,0.133292362401,0.205791055135,0.133292362401
2016-12-15,7_3,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.343,0.399,0.860803726092,58768.17,258_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '258', 'Segment_Id': '0'}",2.717,0.0,20066.0,0.398584110574,0.860803726092,58768.17,70940.0,0.0,20163.517069,20184.5560249,20163.517069,20163.517069,20248.0,0.00209056568827,0.00156913095055,0.00209056568827,0.00209056568827
2016-12-16,7_4,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.542,0.35,1.25137019764,51979.63,269_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '269', 'Segment_Id': '0'}",0.335,0.0,58768.17,0.350068955761,1.54885129292,51979.63,138404.0,0.0,28183.6025358,22766.0159533,28183.6025358,22766.0159533,32421.6,0.0699279482103,0.174959252722,0.0699279482103,0.174959252722
2016-12-17,7_5,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.698,0.453,1.54130344899,0.0,273_280_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '273', 'Segment_Id': '280'}",0.0,0.0,0.0,0.452947633229,1.54130344899,0.0,51824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-18,7_6,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.6,0.401,1.4974741229,0.0,50_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '50', 'Segment_Id': '0'}",0.0,0.0,45423.05,0.40088862687,1.4974741229,0.0,25196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
