Date,Period_Day,Driver_1,Name_Driver_1,Linear_Rate_1,Rate_1,Modifier_1,Value_1,Driver_2,Name_Driver_2,Rate_2,Modifier_2,Value_2,Rate_Tree,Modifier_Tree,Tree_Value,High,Low,Linear_Forecast,Max_Forecast,Tree_Forecast,Best_Forecast,Actual_Rev,Linear_Smape,Max_Smape,Tree_Smape,Best_Smape
2016-12-08,8_3,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.433,0.468,0.925207355457,145936.35,269_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '269', 'Segment_Id': '0'}",0.351,0.0,85498.17,0.467852500934,0.925207355457,145936.35,84486.4,8396.8,63170.0923939,63190.0079219,63170.0923939,63190.0079219,76750.4,0.0970573171504,0.0969011901524,0.0970573171504,0.0969011901524
2016-12-09,8_4,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.443,0.512,0.865414540643,72380.91,50_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '50', 'Segment_Id': '0'}",0.266,0.0,244819.31,0.511956573367,0.865414540643,72380.91,80346.4,0.0,32068.699671,32071.4198932,32068.699671,32068.699671,43669.6,0.153170857801,0.153129441921,0.153170857801,0.153170857801
2016-12-10,8_5,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.428,0.748,0.572768364348,21309.09,266_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '266', 'Segment_Id': '0'}",0.027,0.0,271030.4,0.747514379653,0.572768364348,21309.09,23700.8,0.0,9123.54204338,9129.46912354,9123.54204338,9123.54204338,17088.0,0.303853086684,0.303558319797,0.303853086684,0.303853086684
2016-12-11,8_6,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.544,0.614,0.635563652756,13581.82,266_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '266', 'Segment_Id': '0'}",1.024,0.381336200939,0.0,0.614324102059,0.884785046231,13581.82,17088.0,0.0,7382.32735088,5300.11623398,7382.32735088,5300.11623398,17088.0,0.396630274289,0.526524145346,0.396630274289,0.526524145346
2016-12-12,8_0,50_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '50', 'Segment_Id': '0'}",0.0,0.0,0.0,59162.23,261_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '261', 'Segment_Id': '0'}",0.0,0.0,6635.65,0.0,0.0,59162.23,0.0,0.0,0.0,0.0,0.0,0.0,45278.4,1.0,1.0,1.0,1.0
2016-12-13,8_1,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.499,0.481,0.89771003147,107060.0,269_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '269', 'Segment_Id': '0'}",0.471,0.0,61533.63,0.481457426892,1.03700332551,107060.0,121689.28,0.0,53452.1623243,46228.3501012,53452.1623243,46228.3501012,66538.4,0.109060557949,0.180106723663,0.109060557949,0.180106723663
2016-12-14,8_2,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.424,0.421,1.00814682565,88299.09,270_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '270', 'Segment_Id': '0'}",21.484,0.0,2600.0,0.42098131001,1.00814682565,88299.09,123940.0,4035.2,37475.1025559,37476.7663098,37475.1025559,37475.1025559,31483.2,0.0868916770543,0.0869137070469,0.0868916770543,0.0868916770543
2016-12-15,8_3,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.433,0.468,0.925207355457,58768.17,269_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '269', 'Segment_Id': '0'}",0.351,0.0,88299.09,0.467852500934,0.925207355457,58768.17,84486.4,8396.8,25438.4238657,25446.4437946,25438.4238657,25446.4437946,22592.8,0.0592452916399,0.0594023462727,0.0592452916399,0.0594023462727
2016-12-16,8_4,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.443,0.512,0.865414540643,51979.63,50_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '50', 'Segment_Id': '0'}",0.266,0.0,150130.43,0.511956573367,0.865414540643,51979.63,80346.4,0.0,23029.8174405,23031.770941,23029.8174405,23029.8174405,35777.6,0.216771678034,0.216731259917,0.216771678034,0.216771678034
2016-12-17,8_5,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.428,0.748,0.572768364348,0.0,266_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '266', 'Segment_Id': '0'}",0.027,0.0,73226.4,0.747514379653,0.572768364348,0.0,23700.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-18,8_6,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.544,0.614,0.635563652756,0.0,266_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '266', 'Segment_Id': '0'}",1.024,0.381336200939,0.0,0.614324102059,0.884785046231,0.0,17088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-19,3_0,50_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '50', 'Segment_Id': '0'}",0.0,0.0,0.0,45423.05,261_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '261', 'Segment_Id': '0'}",0.0,0.0,4953.22,0.0,0.0,45423.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-20,3_1,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.344,0.34,0.836670301335,38316.36,265_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '265', 'Segment_Id': '0'}",0.289,0.983391736989,149621.589,0.339882181622,1.01242331768,38316.36,67760.8,0.0,13184.8374915,42522.487312,13184.8374915,42522.487312,25062.4,0.310546938485,0.258343070566,0.310546938485,0.258343070566
