Date,Period_Day,Driver_1,Name_Driver_1,Linear_Rate_1,Rate_1,Modifier_1,Value_1,Driver_2,Name_Driver_2,Rate_2,Modifier_2,Value_2,Rate_Tree,Modifier_Tree,Tree_Value,High,Low,Linear_Forecast,Max_Forecast,Tree_Forecast,Best_Forecast,Actual_Rev,Linear_Smape,Max_Smape,Tree_Smape,Best_Smape
2016-12-08,8_3,266_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '266', 'Segment_Id': '0'}",0.224,0.256,0.869424892695,218839.2,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.418,0.531705402433,145936.35,0.255570853093,0.875342967831,218839.2,84486.4,0.0,48956.9877256,48707.6474823,48956.9877256,48707.6474823,76750.4,0.221096092897,0.223522947157,0.221096092897,0.223522947157
2016-12-09,8_4,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.42,0.447,0.939036655126,72380.91,50_226_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '50', 'Segment_Id': '226'}",1.238,0.338918392068,40431.82,0.446745575655,0.939763405108,72380.91,80346.4,0.0,30388.0497289,30381.8424468,30388.0497289,30381.8424468,43669.6,0.179340693632,0.179439550591,0.179340693632,0.179439550591
2016-12-10,8_5,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.778,0.748,1.04030594053,21309.09,50_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '50', 'Segment_Id': '0'}",0.0,0.0,272636.01,0.747514379653,1.04030594053,21309.09,17088.0,0.0,16570.8785211,16581.6437398,16570.8785211,16570.8785211,17088.0,0.0153635980043,0.0150389550924,0.0153635980043,0.0153635980043
2016-12-11,8_6,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",1.178,1.073,1.09837587621,13581.82,266_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '266', 'Segment_Id': '0'}",0.444,0.0,0.0,1.07272016503,1.09837587621,13581.82,17088.0,0.0,16002.7787522,16006.9533144,16002.7787522,16002.7787522,17088.0,0.0327952767733,0.032665001076,0.0327952767733,0.0327952767733
2016-12-13,7_1,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.401,0.415,0.966888241255,107060.0,261_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '261', 'Segment_Id': '0'}",34.227,0.0,701.39,0.414632716093,0.966888241255,107060.0,87968.8,0.0,42920.7284563,42958.7478701,42920.7284563,42920.7284563,66538.4,0.215767034479,0.215344897913,0.215767034479,0.215767034479
2016-12-14,7_2,258_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '258', 'Segment_Id': '0'}",3.172,3.293,0.963044870844,18754.2,50_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '50', 'Segment_Id': '0'}",0.178,0.0,255431.61,3.29329059829,0.963044870844,18754.2,123940.0,0.0,59480.5697678,59475.3212325,59480.5697678,59480.5697678,31483.2,0.30778594422,0.30774600173,0.30778594422,0.30778594422
2016-12-15,7_3,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.414,0.469,0.882599715663,58768.17,258_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '258', 'Segment_Id': '0'}",2.886,0.0,20066.0,0.469048329272,0.882599715663,58768.17,98305.6,0.0,24328.9599718,24326.4531919,24328.9599718,24328.9599718,22592.8,0.0370011690286,0.0369497183774,0.0370011690286,0.0370011690286
2016-12-16,7_4,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.702,0.451,1.25512284346,51979.63,269_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '269', 'Segment_Id': '0'}",0.436,0.0,58768.17,0.45106927567,1.55659676981,51979.63,183912.8,0.0,36496.6123796,29423.6102744,36496.6123796,29423.6102744,35777.6,0.00994839453744,0.0974520211945,0.00994839453744,0.0974520211945
2016-12-17,7_5,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.796,0.54,1.47288388673,0.0,273_280_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '273', 'Segment_Id': '280'}",0.0,0.0,0.0,0.540268256051,1.47288388673,0.0,60132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-18,7_6,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.67,0.42,1.59462540944,0.0,50_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '50', 'Segment_Id': '0'}",0.0,0.0,45423.05,0.420444169644,1.59462540944,0.0,28096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-20,5_1,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.298,0.262,1.10439797445,38316.36,266_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '266', 'Segment_Id': '0'}",0.395,0.733986312086,51060.8,0.262324704778,1.13664686086,38316.36,44664.0,0.0,11424.81022,14803.7816722,11424.81022,14803.7816722,25062.4,0.37376356531,0.257326332682,0.37376356531,0.257326332682
2016-12-21,5_2,269_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '269', 'Segment_Id': '0'}",0.454,0.27,1.36681764571,6267.27,50_226_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '50', 'Segment_Id': '226'}",0.417,0.884616078876,0.0,0.269957692496,1.68179285353,6267.27,107356.8,0.0,2845.42154056,2312.87811114,2845.42154056,2312.87811114,0.0,1.0,1.0,1.0,1.0
